-------------Timings-----------.
preparationPhase,inputPreparation,computationPhase, verificationPhase, outputPhase, totalTime,
816,0,115,920,0,1857,
948,0,117,953,0,2027,
740,0,116,1089,0,1957,
747,1,116,1022,0,1903,
747,3,115,1138,0,2024,
