-------------Timings-----------.
preparationPhase,inputPreparation,computationPhase, verificationPhase, outputPhase, totalTime,
516,0,132,535,0,1185,
505,0,132,542,0,1180,
499,0,130,536,0,1166,
492,0,131,534,0,1159,
490,0,133,562,0,1187,
