-------------Timings-----------.
preparationPhase,inputPreparation,computationPhase, verificationPhase, outputPhase, totalTime,
513,3,132,535,0,1185,
503,1,132,542,0,1180,
498,0,130,536,0,1167,
492,0,131,534,0,1159,
490,1,132,562,0,1187,
