-------------Timings-----------.
preparationPhase,inputPreparation,computationPhase, verificationPhase, outputPhase, totalTime,
1226,1,132,693,0,2053,
991,0,130,704,0,1826,
1016,0,132,686,0,1836,
970,0,141,728,0,1840,
994,2,131,705,0,1834,
